run_id,label,cpu_node,node,bytes,iters,threads,warmup,elapsed_s,bw_gbps,rc,error
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,0,1073741824,10,16,2,0.078805,136.253846,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,1,1073741824,10,16,2,0.161526,66.474937,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,2,1073741824,10,16,2,0.302415,35.505544,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,10,1073741824,10,16,2,0.302249,35.525016,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,18,1073741824,10,16,2,0.326604,32.875998,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,26,1073741824,10,16,2,0.328064,32.729636,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,0,1073741824,10,16,2,0.078751,136.346854,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,1,1073741824,10,16,2,0.164673,65.204679,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,2,1073741824,10,16,2,0.302034,35.550377,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,10,1073741824,10,16,2,0.301729,35.58633,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,18,1073741824,10,16,2,0.328002,32.735816,0,
2026-02-09_fresh_full_suite_e2e_fixed,node2,0,26,1073741824,10,16,2,0.328818,32.654569,0,
